price,artist,cardFinish,colors,edhrecRank,edhrecSaltiness,gameAvailability,isReprint,layout,manaCost,manaValue,name,number,originalType,power,priceProvider,providerListing,rarity,setCode,supertypes,toughness,type,types
0.07769977863392868,341,2,23,20330.0,0.09,0,0,4,60,4.0,77,178,578,6,0,0,2,118,0,6,222,2
0.07769977863392868,341,1,23,20330.0,0.09,0,0,4,60,4.0,77,178,578,6,0,0,2,118,0,6,222,2
0.07769977863392868,341,2,23,20330.0,0.09,1,0,4,60,4.0,77,178,578,6,3,0,2,118,0,6,222,2
0.07769977863392868,341,2,23,20330.0,0.09,1,0,4,60,4.0,77,178,578,6,1,1,2,118,0,6,222,2
0.07769977863392868,341,2,23,20330.0,0.09,1,0,4,60,4.0,77,178,578,6,1,0,2,118,0,6,222,2
0.07769977863392868,341,2,23,20330.0,0.09,1,0,4,60,4.0,77,178,578,6,2,0,2,118,0,6,222,2
0.06235589494835546,8,2,28,21550.0,0.07,0,0,4,134,5.0,424,585,578,6,0,0,2,118,0,7,261,2
0.06235589494835546,8,1,28,21550.0,0.07,0,0,4,134,5.0,424,585,578,6,0,0,2,118,0,7,261,2
0.06235589494835546,8,2,28,21550.0,0.07,1,0,4,134,5.0,424,585,578,6,3,0,2,118,0,7,261,2
0.06235589494835546,8,2,28,21550.0,0.07,1,0,4,134,5.0,424,585,578,6,1,1,2,118,0,7,261,2
0.06235589494835546,8,2,28,21550.0,0.07,1,0,4,134,5.0,424,585,578,6,1,0,2,118,0,7,261,2
0.06235589494835546,8,2,28,21550.0,0.07,1,0,4,134,5.0,424,585,578,6,2,0,2,118,0,7,261,2
0.17195930690859157,29,2,24,25439.0,0.25,0,0,4,123,5.0,445,96,578,7,0,0,2,118,0,7,284,2
0.17195930690859157,29,1,24,25439.0,0.25,0,0,4,123,5.0,445,96,578,7,0,0,2,118,0,7,284,2
0.17195930690859157,29,2,24,25439.0,0.25,1,0,4,123,5.0,445,96,578,7,3,0,2,118,0,7,284,2
0.17195930690859157,29,2,24,25439.0,0.25,1,0,4,123,5.0,445,96,578,7,1,1,2,118,0,7,284,2
0.17195930690859157,29,2,24,25439.0,0.25,1,0,4,123,5.0,445,96,578,7,1,0,2,118,0,7,284,2
0.17195930690859157,29,2,24,25439.0,0.25,1,0,4,123,5.0,445,96,578,7,2,0,2,118,0,7,284,2
0.11210324763709353,335,2,30,25730.0,0.14,0,0,4,144,5.0,922,280,578,7,0,0,2,118,0,7,252,2
0.11210324763709353,335,1,30,25730.0,0.14,0,0,4,144,5.0,922,280,578,7,0,0,2,118,0,7,252,2
